Crop,ScientificName,Symbol,Contents Available,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),Average Moisture %,Average Sodium % (dry),Average Phosphorus % (dry),Average Potassium % (dry),,
"Lespedeza-Korean, for hay (pre bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,13.00,1.98,0.00,0.00,,
"Lespedeza-Korean, for hay (vegetative)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9.60,2.54,0.21,1.05,,
"Lespedeza-Sericea, for hay",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,10.00,2.22,0.25,1.10,,
"Lespedeza-Sericea, for hay (cut 2)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.60,2.30,0.23,1.01,,
"Lespedeza-Sericea, for hay (cut 3)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.20,2.42,0.23,0.93,,
"Lespedeza-Sericea, for hay (early bloom)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.40,2.75,0.26,0.69,,
"Lespedeza-Sericea, for hay (full boom)",Lespedeza cuneata,LECU,"N,P",Aboveground biomass,Forage,ton,2000,5.60,2.43,0.22,0.00,,
"Lespedeza-Sericea, for hay (mid bloom)",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,2000,7.20,2.70,0.00,0.00,,
"Lespedeza-Sericea, for hay (vegetative)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.80,2.98,0.27,0.99,,
"Lespedeza-Sericea, for seed",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,100,7.70,5.81,0.00,0.00,,
"Lespedeza-Striate, for hay",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.00,2.50,0.29,1.37,,
"Lespedeza-Striate, for hay (early bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,9.00,2.61,0.24,1.10,,
"Lespedeza-Striate, for hay (full bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.87,2.26,0.21,1.04,,
"Lespedeza-Striate, for hay (mid bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.00,2.02,0.18,1.03,,
"Lespedeza-Striate, for hay (pre bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.07,2.56,0.27,1.21,,
"Lettuce-Butterhead or Curled, for leaf",Lactuca sativa L. var. crispa,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,96.00,4.80,0.78,6.75,,
"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf",Lactuca sativa L. var. capitata,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,95.00,2.56,0.50,2.00,,
"Lettuce-Head, for head",Lactuca sativa,LASA3,"N,P,K",Head,Vegetable,lb of leaf,1,94.80,3.81,0.48,4.52,,
"Lettuce-Romaing or Cos, for leaf",Lactuca sativa var. longifolia,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,94.00,4.27,0.75,6.67,,
Lime,Citrus aurantiifolia,CIAU4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.26,0.95,0.15,0.87,,
Longan,Dimocarpus longan,DILO7,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,82.75,1.22,0.12,1.54,,
Loquat,Eriobotrya japonica,ERJA3,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.73,0.52,0.20,2.00,,
Lychee Nut,Litchi chinensis,LICH4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.76,0.73,0.17,0.94,,
Macadamia Nut (dry),Macadamia integrifolia,MAIN8,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.88,1.37,0.14,0.38,,
Mammee apple,Mammea americana,MAAM2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.20,0.58,0.08,0.34,,
Mango,Mangifera indica,MAIN3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.71,0.45,0.06,0.85,,
Melon-Canteloupe,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.89,1.49,0.36,3.16,,
Melon-Casaba,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,92.00,1.50,0.09,2.63,,
Melon-Honeydew,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.33,0.91,0.16,2.58,,
Melon-Waternelon,Citrullus lanatus,CILA3,"N,P,K",Fruit,Tree and fruit,cwt,100,90.84,1.11,0.11,1.33,,
"Millet-Foxtail, for grain",Setaria italica,SEIT,"N,P,K",Floret,Cereal and oil,bu,50,10.62,2.11,0.34,0.35,,
"Millet-Foxtail, for green chop and silage (late bloom)",Setaria italica,SEIT,"N,P,K",Aboveground biomass,Forage,ton,2000,72.45,1.59,0.18,1.94,,
"Millet-Foxtail, for hay",Setaria italica,SEIT,N,Aboveground biomass,Forage,ton,2000,7.00,1.58,0.00,0.00,,
"Millet-Foxtail, for straw",Setaria italica,SEIT,"N,K",Straw,Cereal and oil,ton,2000,10.67,0.67,0.00,1.60,,
"Millet-Pearl, for grain",Pennisetum glaucum,PEGL2,"N,P,K",Floret,Cereal and oil,bu,50,10.10,2.22,0.38,0.39,,
"Millet-Pearl, for green chop and silage (milk to soft dough stage)",Pennisetum glaucum,PEGL2,"N,P,K",Aboveground biomass,Forage,ton,2000,78.40,1.54,0.26,1.63,,
"Millet-Pearl, for hay",Pennisetum glaucum,PEGL2,N,Aboveground biomass,Forage,ton,2000,10.10,1.60,0.00,0.00,,
"Millet-Pearl, for straw",Pennisetum glaucum,PEGL2,"N,K",Straw,Cereal and oil,lb straw/lb grain,1.55,10.00,0.68,0.00,1.60,,
"Millet-Proso, for grain",Panicum miliaceum,PAMI2,"N,P,K",Floret,Cereal and oil,bu,56,9.90,2.08,0.34,0.48,,
"Millet-Proso, for straw",Panicum miliaceum,PAMI2,"N,K",Straw,Cereal and oil,lb straw/bu grain,84.5,10.00,0.68,0.00,1.60,,
"Mustard, for seed",Brassica spp,BRASS2,N,Seed,Vegetable,cwt,100,4.10,3.84,0.00,0.00,,
"Mint, for hay (mature)",Mentha sp.,MENTH,"N,P",Aboveground biomass,Fiber and miscellaneous,ton,2000,12.27,2.34,0.22,0.00,,
Mulberry,Morus nigra,MONI,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,87.68,1.87,0.31,1.57,,
Mungbean,Vigna radiata var. radiata,VIRAR2,"N,P,K",Seed,Vegetable,lb of seed,1,10.23,4.12,0.40,1.33,,
Mushroom,Agaricus sp.,,"N,P,K",Friut,Fiber and miscellaneous,lb of fruit ,1,92.00,5.80,1.13,4.00,,
"Mustard, for greens (immature leaf)",Brassica juncea,BRJU,"N,P,K",Leaf,Vegetable,lb of leaf,1,91.00,4.80,0.50,3.78,,
"Mustard, for hay",Brassica sp.,BRASS2,N,Aboveground biomass,Vegetable,ton,2000,17.50,2.83,0.00,0.00,,
Natalgrass for hay,Melinis repens,MERE9,"N,P",Aboveground biomass,Forage,ton,2000,7.50,0.64,0.35,0.00,,
Nectarine,Prunus persica var. nectarina,PRPEN,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.28,1.10,0.12,1.55,,
"Oat, for grain (not including Pacific Coast)",Avena sativa,AVSA,"N,P,K",Floret,Cereal and oil,bu,32,10.67,2.09,0.38,0.46,,
"Oat, for grain (Pacific coast)",Avena sativa,AVSA,"N,P,K",Floret,Cereal and oil,bu,32,8.87,1.59,0.34,0.42,,
"Oat, for green chop",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,78.90,2.12,0.24,1.89,,
"Oat, for green chop (boot to early bloom)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,73.97,1.98,0.34,1.88,,
"Oat, for green chop (dough stage)",Avena sativa,AVSA,"P,K",Aboveground biomass,Forage,ton,2000,70.93,0.00,0.25,1.93,,
"Oat, for green chop (full bloom)",Avena sativa,AVSA,"P,K",Aboveground biomass,Forage,ton,2000,67.80,0.00,0.31,2.07,,
"Oat, for green chop (mature)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,72.00,1.44,0.28,0.00,,
"Oat, for green chop (vegetative)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,83.68,2.89,0.47,0.00,,
"Oat, for hay",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.24,1.37,0.24,1.26,,
"Oat, for hay (dough stage)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.10,1.46,0.20,1.53,,
"Oat, for hay (early bloom)",Avena sativa,AVSA,N,Aboveground biomass,Forage,ton,2000,10.90,1.54,0.00,0.00,,
"Oat, for hay (full bloom)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,14.20,1.47,0.35,2.41,,
"Oat, for hay (mature)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,8.65,1.23,0.23,0.00,,
"Oat, for hay (milk stage)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,12.10,1.34,0.20,0.00,,
"Oat, for hay (vegetative)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,9.90,2.21,0.43,0.00,,
"Oat, green chop (milk stage)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,73.43,1.45,0.34,2.15,,
"Oat, straw (not including Pacific coast)",Avena sativa,AVSA,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,44.5,9.68,0.71,0.09,2.39,,
"Oat, straw (Pacific Coast)",Avena sativa,AVSA,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,44.5,10.20,0.73,0.10,2.23,,
"Oatgrass-Tall, for hay",Arrhenatherum elatius,AREL3,N,Aboveground biomass,Forage,ton,2000,8.10,1.64,0.00,0.00,,
Ohelogerrie,Vaccinium reticulatum,VARE,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,92.30,0.79,0.13,0.49,,
Okra,Abelmoschus esculentus,ABES,"N,P,K",Fruit,Vegetable,lb of leaf,1,88.00,2.67,0.53,2.33,,
Okra-Chinese,Luffa acutangula,LUAC2,"N,P",Fruit,Vegetable,lb of leaf,1,93.00,2.74,0.46,0.00,,
Onion-Dry (bulb),Allium cepa,ALCE,"N,P",Bulb,Vegetable,lb of fruit ,1,90.00,2.20,0.26,0.00,,
Onion-Dry (bulb) cultivar 'Southport White Globe',Allium cepa,ALCE,"N,P,K",Bulb,Vegetable,lb of fruit ,1,86.00,1.71,0.31,1.29,,
Onion-Dry (bulb) cultivar 'Sweet Spanish',Allium cepa,ALCE,"N,P,K",Bulb,Vegetable,lb of fruit ,1,90.00,0.80,0.27,1.20,,
Onion-Green (bulb),Allium cepa,ALCE,"N,P,K",Bulb,Vegetable,lb of fruit ,1,90.00,2.08,0.43,1.20,,
Onion-Green (leaf),Allium cepa,ALCE,"N,P,K",Leaf,Vegetable,lb of leaf,1,92.00,4.00,0.38,2.75,,
Orange (all commercial varieties),Citrus sinensis,CISI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,84.24,1.18,0.12,1.37,,
Orange (Florida),Citrus sinensis,CISI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.14,0.87,0.09,1.31,,
Orange (with peel),Citrus sinensis,CISI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,82.30,1.18,0.12,1.11,,
Orange-Navel (California),Citrus sinensis,CISI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.81,1.25,0.14,1.35,,
Orange-Valencia (California),Citrus sinensis,CISI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.34,1.22,1.24,1.31,,
"Orchardgrass + Alfalfa, for hay","Medicago Sativa, Dactylis glomerata","MESA, DAGL","N,P",Aboveground biomass,Forage,ton,2000,9.70,2.48,0.27,0.00,,
"Orchardgrass + Alfalfa, for hay (cut 1)","Medicago Sativa, Dactylis glomerata","MESA, DAGL","N,P,K",Aboveground biomass,Forage,ton,2000,7.95,2.14,0.20,1.49,,
"Orchardgrass, for green chop",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,74.13,2.37,0.18,2.64,,
"Orchardgrass, for green chop (mature)",Dactylis glomerata,DAGL,N,Aboveground biomass,Forage,ton,2000,9.60,1.06,0.00,0.00,,
"Orchardgrass, for green chop (mid bloom)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,72.20,1.54,0.20,2.09,,
"Orchardgrass, for green chop (pre bloom)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,73.16,2.30,0.41,3.42,,
"Orchardgrass, for hay",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,10.83,1.71,0.25,2.80,,
"Orchardgrass, for hay (mature)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,10.45,1.25,0.25,3.69,,
"Orchardgrass, for hay (mid bloom)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,9.50,1.70,0.45,2.05,,
"Orchardgrass, for hay (pre bloom)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,12.48,2.39,0.46,3.82,,
"Orchardgrass, for hay (vegetative)",Dactylis glomerata,DAGL,"N,P,K",Aboveground biomass,Forage,ton,2000,9.83,1.44,0.34,3.83,,
Papaya,Carica papaya,CAPA23,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.83,0.87,0.04,2.30,,
Parsley,Petroselinum crispum,PECR2,"N,P,K",Leaf,Vegetable,lb of leaf,1,90.00,3.52,0.40,2.70,,
Parsnip,Pastinaca sativa,PASA2,"N,P,K",Root,Vegetable,lb of leaf,1,81.00,1.01,0.36,1.74,,
"Passion-Fruit, (purple)",Passiflora edulis,PAED,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,72.93,1.30,0.25,1.29,,
"Pea, for straw",Pisum sp.,PISUM,N,Straw,Vegetable,ton,2000,13.50,1.53,0.00,0.00,,
"Pea, for vine (without pods)",Pisum sp.,PISUM,N,Vine without pods,Vegetable,ton,2000,75.00,2.00,0.00,0.00,,
Peach (without skin),Prunus persica,PRPE3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.83,0.95,0.10,1.60,,
"Pea-Chinese, for immature pod with seeds",Pisum sativum,PISA6,"N,P,K",Fruit,Vegetable,lb of fruit ,1,88.00,3.73,0.44,1.42,,
"Pea-English, for seed (immature seed)",Pisum sativum,PISA6,"N,P,K",Seed,Vegetable,lb of seed,1,79.00,4.50,0.52,1.24,,
"Pea-Field, for hay",Pisum sativum,PISA6,"N,P,K",Aboveground biomass,Forage,ton,2000,10.93,2.57,0.27,1.49,,
"Pea-Field, for silage",Pisum sativum,PISA6,"N,P,K",Aboveground biomass,Forage,ton,2000,73.00,2.26,0.29,1.40,,
"Pea-Field, for seed (dry)",Pisum sativum,PISA6,"N,P,K",Seed,Vegetable,lb of seed,1,9.03,4.10,0.49,1.29,,
"Pea-Field, for straw",Pisum sativum,PISA6,"N,P,K",Straw,Vegetable,lb straw/lb grain,0.588,11.20,1.34,0.11,1.20,,
"Pea-Flat, for silage (early bloom)",Lathyrus sylvestris,LASY,"N,P,K",Aboveground biomass,Forage,ton,2000,73.00,4.22,0.37,2.22,,
"Pea-Garden, for pod",Pisum sativum,PISA6,"N,P,K",Fruit,Vegetable,lb of fruit ,1,87.10,2.24,0.23,1.40,,
"Pea-Garden, for seed (dry)",Pisum sativum,PISA6,"N,P,K",Seed,Vegetable,cwt,100,10.45,4.26,0.48,1.05,,
"Pea-Garden, for seed (immature seed)",Pisum sativum,PISA6,"N,P,K",Seed,Vegetable,lb of seed,1,79.50,4.35,0.55,1.24,,
"Pea-Garden, for straw",Pisum sativum,PISA6,"N,P,K",Straw,Vegetable,ton,2000,11.20,1.34,0.11,1.20,,
"Peanut, for fruit (pod with seeds)",Arachis hypogaea,ARHY,"N,P,K",Fruit,Vegetable,lb of fruit,1,6.82,4.25,0.35,0.56,,
"Peanut, for hay (dug and with nuts)",Arachis hypogaea,ARHY,"N,P,K",Aboveground biomass,Forage,ton,2000,8.25,2.33,0.16,0.92,,
"Peanut, for hay (dug and without nuts)",Arachis hypogaea,ARHY,"N,P,K",Aboveground biomass,Forage,ton,2000,9.15,1.75,0.19,1.38,,
"Peanut, for hay (mowed)",Arachis hypogaea,ARHY,"N,P,K",Aboveground biomass,Forage,ton,2000,10.83,1.92,0.16,1.38,,
"Peanut, for seed only",Arachis hypogaea,ARHY,"N,P",Seed,Vegetable,lb of seed,1,7.75,4.86,0.40,0.00,,
"Peanut, for vine only",Arachis hypogaea,ARHY,"N,P,K",Aboveground biomass,Vegetable,lb vine/lb fruit,1.38,9.45,1.64,0.14,1.38,,
Pear,Pyrus communis,PYCO,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,82.91,0.39,0.07,0.77,,
"Pea-Shelling, for seed (immature seed)",Pisum sativum,PISA6,"N,P,K",Seed (immature),Vegetable,lb of seed,1,79.00,4.50,0.52,1.24,,
"Pea-Sugar, for immature pod with seeds",Pisum sativum,PISA6,"N,P,K",Fruit,Vegetable,lb of fruit ,1,88.00,3.73,0.44,1.42,,
Pecan (dry),Carya illinoinensis,CAIL2,N,Nut,Tree and fruit,lb of nut,1,15.00,2.80,0.00,0.00,,
Pepper-Bell (green),Capsicum annuum var. annuum,CAANA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,92.50,2.18,0.38,2.14,,
Pepper-Bell (red),Capsicum annuum var. annuum,CAANA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,91.00,1.42,0.31,2.22,,
Pepper-Chili (green),Capsicum annuum var. annuum,CAANA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,86.00,2.29,0.33,1.86,,
Pepper-Chili (red),Capsicum annuum var. annuum,CAANA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,84.00,2.00,0.28,2.63,,
Pepper-Pimiento,Capsicum annuum var. annuum,CAANA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,90.00,1.92,0.20,2.50,,
Persimmon-Japanese,Diospyros kaki,DIKA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,80.32,0.47,0.09,0.82,,
Persimmons-Native,Diospyros virginiana,DIVI5,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,64.40,0.36,0.07,0.87,,
Pineapple,Ananas comosus,ANCO30,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.50,0.46,0.05,0.84,,
"Pistachio, for nuts (dry)",Pistacia vera,PIVE3,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.87,3.43,0.52,1.14,,
Pitanga,Eugenia uniflora,EUUN2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,90.81,1.39,0.12,1.12,,
Plantain,Musa X paradisiaca,MUPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,65.28,0.60,0.10,1.44,,
Plum,Prunus sp.,PRUNU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,85.20,0.85,0.07,1.16,,
Pomegranate (without skin),Punica granatum,PUGR2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,80.97,0.80,0.04,1.36,,
Potato-Irish for tuber,Solanum tuberosum,SOTU,"N,P,K",Tuber,Vegetable,cwt,100,77.20,1.61,0.25,2.00,,
"Potato-Irish, for vine",Solanum tuberosum,SOTU,"N,P,K",Aboveground biomass,Vegetable,ton,2000,48.90,2.24,0.20,3.95,,
"Prairie (Marsh), for hay",None,None,"N,P,K",Aboveground biomass,Forage,ton,2000,11.80,1.58,0.11,0.77,,
"Prairie (Meadow), for hay (intermountain area)",None,None,"N,P",Aboveground biomass,Forage,ton,2000,6.50,1.33,0.16,0.00,,
"Prairie, for hay (Colorado, Wyoming)",None,None,N,Aboveground biomass,Forage,ton,2000,5.50,1.19,0.00,0.00,,
"Prairie, for hay (Kansas, Oklahoma)",None,None,"N,P",Aboveground biomass,Forage,ton,2000,9.50,0.78,0.08,0.00,,
"Prairie, for hay (Midwest, Minnesota, South Dakota)",None,None,"N,P,K",Aboveground biomass,Forage,ton,2000,10.30,1.05,0.13,1.08,,
"Prairie, for hay (western, early cut)",None,None,"N,P,K",Aboveground biomass,Forage,ton,2000,9.00,1.30,0.21,1.08,,
"Prairie, for hay (western, mature and weathered)",None,None,"N,P",Aboveground biomass,Forage,ton,2000,9.05,0.59,0.06,0.00,,
"Prairie, for hay (western, mature)",None,None,"N,P,K",Aboveground biomass,Forage,ton,2000,8.10,0.76,0.09,0.79,,
"Prairie, for hay (western, mid-season cut)",None,None,"N,P",Aboveground biomass,Forage,ton,2000,8.70,1.05,0.13,0.00,,
Pricklypear (without skin),Opuntia sp.,OPUNT,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,87.55,0.94,0.19,1.77,,
Pummelo (without skin),Citrus grandis,CIMA5,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,89.10,1.12,0.16,1.98,,
Pumpkin,Cucurbita pepo,CUPE,"N,P,K",Fruit,Vegetable,lb of fruit ,1,90.67,2.59,0.39,2.78,,
Quince,Cydonia oblonga,CYOB2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.80,0.40,0.10,1.22,,
"Radish, for root, cultivar 'Icicle'",Raphanus sativus,RASA2,"N,P,K",Root,Vegetable,lb of root,1,94.00,2.93,0.47,4.67,,
"Radish, for root, cultivar 'Scarlet Globe'",Raphanus sativus,RASA2,"N,P,K",Root,Vegetable,lb of root,1,94.00,1.87,0.45,3.17,,
"Radish-Chinese Winter, for root",Raphanus sativus,RASA2,"N,P,K",Root,Vegetable,lb of root,1,94.00,1.60,0.40,3.17,,
Raspberry,Rubus sp.,RUBUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.57,1.08,0.09,1.13,,
"Redtop, for green chop",Agrostis alba,AGGI2,"N,P,K",Aboveground biomass,Forage,ton,2000,73.57,2.03,0.38,2.20,,
"Redtop, for hay",Agrostis alba,AGGI2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.44,1.31,0.22,1.89,,
"Redtop, for hay (full bloom)",Agrostis alba,AGGI2,"N,P,K",Aboveground biomass,Forage,ton,2000,7.00,1.50,0.35,1.69,,
"Redtop, for hay (late vegetative)",Agrostis alba,AGGI2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.00,2.21,0.15,2.39,,
"Redtop, for hay (mature)",Agrostis alba,AGGI2,N,Aboveground biomass,Forage,ton,2000,8.30,0.94,0.00,0.00,,
"Redtop, for hay (mid bloom)",Agrostis alba,AGGI2,N,Aboveground biomass,Forage,ton,2000,7.20,1.92,0.00,0.00,,
"Rhubarb, for fruit",Rheum rhabarbarum,RHRH2,"N,P,K",Fruit,Vegetable,lb of fruit,1,93.61,2.25,0.22,4.51,,
"Rhubarb, for leaf petiole",Rheum rhabarbarum,RHRH2,"N,P,K",Petiole,Vegetable,lb of leaf,1,92.00,1.40,0.25,4.50,,
"Rice-Rough, for grain",Oryza sativa,ORSA,"N,P,K",Floret,Cereal and oil,cwt,100,11.33,1.39,0.29,0.45,,
"Rice, for straw",Oryza sativa,ORSA,"N,P,K",Straw,Cereal and oil,lb straw/cwt grain,100,9.18,0.71,0.08,1.48,,
Rose-apple,Syzygium jambos,SYJA,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,93.00,1.37,0.11,1.76,,
Roselle,Hibiscus sabdariffa,HISA2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.58,1.14,0.28,1.55,,
Rutabaga,Brassica napus,BRNA,"N,P,K",Root,Vegetable,lb of root,1,90.00,1.92,0.41,2.20,,
"Rye, for grain",Secale cereale,SECE,"N,P,K",Caryopsis,Cereal and oil,bu,56,11.88,2.14,0.38,0.52,,
"Rye, for green chop",Secale cereale,SECE,"N,P,K",Aboveground biomass,Forage,ton,2000,79.60,2.84,0.38,3.12,,
"Rye, for green chop (dough stage)",Secale cereale,SECE,"N,P",Aboveground biomass,Forage,ton,2000,66.60,2.14,0.30,0.00,,
"Rye, for green chop (mature)",Secale cereale,SECE,"N,P",Aboveground biomass,Forage,ton,2000,76.60,1.39,0.26,0.00,,
"Rye, for hay",Secale cereale,SECE,"N,P,K",Aboveground biomass,Forage,ton,2000,7.38,1.21,0.22,1.24,,
"Rye, for hay (dough stage)",Secale cereale,SECE,N,Aboveground biomass,Forage,ton,2000,6.90,1.68,0.00,0.00,,
"Rye, for hay (mature)",Secale cereale,SECE,N,Aboveground biomass,Forage,ton,2000,9.10,1.30,0.00,0.00,,
"Rye, for straw",Secale cereale,SECE,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,87,9.07,0.50,0.09,0.97,,
"Ryegrass-Perennial, for green chop",Lolium perenne ssp. perenne,LOPEP,"N,P,K",Aboveground biomass,Forage,ton,2000,76.88,1.86,0.28,2.55,,
"Ryegrass-Perennial, for green chop (early vegetative)",Lolium perenne ssp. perenne,LOPEP,"N,P,K",Aboveground biomass,Forage,ton,2000,79.13,3.97,0.40,3.08,,
"Ryegrass-Perennial, for green chop (late vegetative)",Lolium perenne ssp. perenne,LOPEP,N,Aboveground biomass,Forage,ton,2000,75.00,2.00,0.00,0.00,,
"Ryegrass-Perennial, for green chop (mid bloom)",Lolium perenne ssp. perenne,LOPEP,N,Aboveground biomass,Forage,ton,2000,69.85,1.55,0.00,0.00,,
"Ryegrass-Perennial, for hay",Lolium perenne ssp. perenne,LOPEP,"N,P,K",Aboveground biomass,Forage,ton,2000,12.74,1.49,0.20,1.42,,
"Ryegrass-Perennial, for hay (early vegetative)",Lolium perenne ssp. perenne,LOPEP,N,Aboveground biomass,Forage,ton,2000,8.60,2.24,0.00,0.00,,
"Ryegrass-Perennial, for hay (late vegetative)",Lolium perenne ssp. perenne,LOPEP,N,Aboveground biomass,Forage,ton,2000,15.00,1.85,0.00,0.00,,
"Ryegrass-Perennial, for hay (mature)",Lolium perenne ssp. perenne,LOPEP,"N,P",Aboveground biomass,Forage,ton,2000,14.30,0.89,0.07,0.00,,
"Ryegrass-Perennial, for hay (mid bloom)",Lolium perenne ssp. perenne,LOPEP,N,Aboveground biomass,Forage,ton,2000,15.00,1.30,0.00,0.00,,
"Safflower, for seed",Carthamus tinctorius,CATI,"N,P,K",Seed,Cereal and oil,cwt,100,7.60,2.67,0.60,0.75,,
"Saltgrass, for hay",Distichlis sp.,DISTI,"N,P",Aboveground biomass,Forage,ton,2000,10.77,1.42,0.10,0.00,,
Sapodilla,Manilkara zapota,MAZA,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,78.00,0.32,0.05,0.88,,
Sapote,Pouteria sapota,POSA13,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,62.43,0.90,0.07,0.92,,
"Sesame, for seed",Sesamum orientale,SEOR4,"N,P,K",Seed,Fiber and miscellaneous,cwt,100,6.88,3.66,0.77,0.50,,
"Smooth Brome + Alfalfa, for green chop","Medicago Sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,77.63,3.32,0.31,2.80,,
"Smooth Brome + Alfalfa, for hay","Medicago Sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,11.58,2.42,0.27,1.90,,
